Run,Cue,Jitter,Eval,runLooper.thisRepN,runLooper.thisTrialN,runLooper.thisN,runLooper.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,advanceScreen.keys,advanceScreen.rt,Prediction_Response.keys,Prediction_Response.rt,Version,frameRate,expName,date,mriMode,Subject,
Run1,stim/58_smile_edited.jpg,4.0,No,0,0,0,0,0,0,0,0,space,3.21939598908,2,0.756094739078,1A,59.9108773264,Rej_Discount,2019_Mar_12_1103,on,Rej_06,
Run1,stim/cc_2_edited.jpg,1.5,Yes,0,0,0,0,0,1,1,1,,,1,1.49412289407,1A,59.9108773264,Rej_Discount,2019_Mar_12_1103,on,Rej_06,
Run1,stim/cc_22_edited.jpg,4.5,Yes,0,0,0,0,0,2,2,2,,,2,1.14605571595,1A,59.9108773264,Rej_Discount,2019_Mar_12_1103,on,Rej_06,
Run1,stim/cc_9_edited.jpg,2.5,No,0,0,0,0,0,3,3,3,,,1,1.27615913174,1A,59.9108773264,Rej_Discount,2019_Mar_12_1103,on,Rej_06,
Run1,stim/edited_63_smile.jpg,3.0,Yes,0,0,0,0,0,4,4,4,,,1,1.23399350537,1A,59.9108773264,Rej_Discount,2019_Mar_12_1103,on,Rej_06,
Run1,stim/EMBfemale21-4happy_Edited.jpg,3.0,Yes,0,0,0,0,0,5,5,5,,,2,1.09807254314,1A,59.9108773264,Rej_Discount,2019_Mar_12_1103,on,Rej_06,
Run1,stim/EMImale21-2happy_edited.jpg,3.5,No,0,0,0,0,0,6,6,6,,,1,1.04141483476,1A,59.9108773264,Rej_Discount,2019_Mar_12_1103,on,Rej_06,
Run1,stim/EMImale24-3happy_edited.jpg,2.0,No,0,0,0,0,0,7,7,7,,,2,1.71851939167,1A,59.9108773264,Rej_Discount,2019_Mar_12_1103,on,Rej_06,
Run1,stim/EMImale28happy_edited.jpg,4.0,No,0,0,0,0,0,8,8,8,,,1,0.947022538988,1A,59.9108773264,Rej_Discount,2019_Mar_12_1103,on,Rej_06,
Run1,stim/EMWfemale22-2happy_Edited.jpg,4.0,Yes,0,0,0,0,0,9,9,9,,,2,1.1435735006,1A,59.9108773264,Rej_Discount,2019_Mar_12_1103,on,Rej_06,
