Run,Cue,Jitter,Eval,runLooper.thisRepN,runLooper.thisTrialN,runLooper.thisN,runLooper.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,advanceScreen.keys,advanceScreen.rt,Prediction_Response.keys,Prediction_Response.rt,Version,frameRate,expName,date,mriMode,Subject,
Run1,stim/58_smile_edited.jpg,4.0,No,0,0,0,0,0,0,0,0,space,2.9021398805,1,1.11860423672,1A,59.9805056589,Rej_Discount,2019_Mar_12_1301,on,Rej_08,
Run1,stim/cc_2_edited.jpg,1.5,Yes,0,0,0,0,0,1,1,1,,,1,1.18336732215,1A,59.9805056589,Rej_Discount,2019_Mar_12_1301,on,Rej_08,
Run1,stim/cc_22_edited.jpg,4.5,Yes,0,0,0,0,0,2,2,2,,,2,1.35219435488,1A,59.9805056589,Rej_Discount,2019_Mar_12_1301,on,Rej_08,
Run1,stim/cc_9_edited.jpg,2.5,No,0,0,0,0,0,3,3,3,,,1,1.57070830377,1A,59.9805056589,Rej_Discount,2019_Mar_12_1301,on,Rej_08,
Run1,stim/edited_63_smile.jpg,3.0,Yes,0,0,0,0,0,4,4,4,,,1,1.27611807769,1A,59.9805056589,Rej_Discount,2019_Mar_12_1301,on,Rej_08,
Run1,stim/EMBfemale21-4happy_Edited.jpg,3.0,Yes,0,0,0,0,0,5,5,5,,,1,1.55285227724,1A,59.9805056589,Rej_Discount,2019_Mar_12_1301,on,Rej_08,
Run1,stim/EMImale21-2happy_edited.jpg,3.5,No,0,0,0,0,0,6,6,6,,,2,1.03395574808,1A,59.9805056589,Rej_Discount,2019_Mar_12_1301,on,Rej_08,
Run1,stim/EMImale24-3happy_edited.jpg,2.0,No,0,0,0,0,0,7,7,7,,,2,0.977317322666,1A,59.9805056589,Rej_Discount,2019_Mar_12_1301,on,Rej_08,
Run1,stim/EMImale28happy_edited.jpg,4.0,No,0,0,0,0,0,8,8,8,,,2,1.09178443012,1A,59.9805056589,Rej_Discount,2019_Mar_12_1301,on,Rej_08,
Run1,stim/EMWfemale22-2happy_Edited.jpg,4.0,Yes,0,0,0,0,0,9,9,9,,,1,0.913286367908,1A,59.9805056589,Rej_Discount,2019_Mar_12_1301,on,Rej_08,
