Run,Cue,Jitter,Eval,runLooper.thisRepN,runLooper.thisTrialN,runLooper.thisN,runLooper.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,advanceScreen.keys,advanceScreen.rt,Prediction_Response.keys,Prediction_Response.rt,Version,frameRate,expName,date,mriMode,Subject,
Run1,stim/58_smile_edited.jpg,4.0,No,0,0,0,0,0,0,0,0,space,5.1654232782,2,2.76297782492,1A,59.9771490594,Rej_Discount,2019_Mar_14_1204,on,Rej_10,
Run1,stim/cc_2_edited.jpg,1.5,Yes,0,0,0,0,0,1,1,1,,,1,1.41504282842,1A,59.9771490594,Rej_Discount,2019_Mar_14_1204,on,Rej_10,
Run1,stim/cc_22_edited.jpg,4.5,Yes,0,0,0,0,0,2,2,2,,,2,1.416272895,1A,59.9771490594,Rej_Discount,2019_Mar_14_1204,on,Rej_10,
Run1,stim/cc_9_edited.jpg,2.5,No,0,0,0,0,0,3,3,3,,,1,2.16478196406,1A,59.9771490594,Rej_Discount,2019_Mar_14_1204,on,Rej_10,
Run1,stim/edited_63_smile.jpg,3.0,Yes,0,0,0,0,0,4,4,4,,,1,1.53773225477,1A,59.9771490594,Rej_Discount,2019_Mar_14_1204,on,Rej_10,
Run1,stim/EMBfemale21-4happy_Edited.jpg,3.0,Yes,0,0,0,0,0,5,5,5,,,2,2.16100965609,1A,59.9771490594,Rej_Discount,2019_Mar_14_1204,on,Rej_10,
Run1,stim/EMImale21-2happy_edited.jpg,3.5,No,0,0,0,0,0,6,6,6,,,1,1.628740079,1A,59.9771490594,Rej_Discount,2019_Mar_14_1204,on,Rej_10,
Run1,stim/EMImale24-3happy_edited.jpg,2.0,No,0,0,0,0,0,7,7,7,,,None,,1A,59.9771490594,Rej_Discount,2019_Mar_14_1204,on,Rej_10,
Run1,stim/EMImale28happy_edited.jpg,4.0,No,0,0,0,0,0,8,8,8,,,1,2.04045877286,1A,59.9771490594,Rej_Discount,2019_Mar_14_1204,on,Rej_10,
Run1,stim/EMWfemale22-2happy_Edited.jpg,4.0,Yes,0,0,0,0,0,9,9,9,,,2,2.14839455311,1A,59.9771490594,Rej_Discount,2019_Mar_14_1204,on,Rej_10,
Run1,stim/EMWmale23-2happy_edited.jpg,2.0,No,0,0,0,0,0,10,10,10,,,2,2.48430817539,1A,59.9771490594,Rej_Discount,2019_Mar_14_1204,on,Rej_10,
Run1,stim/Silk_Rudick_F25_edited.jpg,3.5,Yes,0,0,0,0,0,11,11,11,,,2,2.38287230974,1A,59.9771490594,Rej_Discount,2019_Mar_14_1204,on,Rej_10,
Run1,stim/Female_Creative_Commons_Stockvault_10.jpg,2.0,No,0,0,0,0,0,12,12,12,,,1,2.65508185464,1A,59.9771490594,Rej_Discount,2019_Mar_14_1204,on,Rej_10,
