Run,Cue,Jitter,Eval,runLooper.thisRepN,runLooper.thisTrialN,runLooper.thisN,runLooper.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,advanceScreen.keys,advanceScreen.rt,Prediction_Response.keys,Prediction_Response.rt,Version,frameRate,expName,date,mriMode,Subject,
Run1,stim/58_smile_edited.jpg,4.0,No,0,0,0,0,0,0,0,0,space,4.35533281311,2,1.9239591785,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/cc_2_edited.jpg,1.5,Yes,0,0,0,0,0,1,1,1,,,1,1.09629913222,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/cc_22_edited.jpg,4.5,Yes,0,0,0,0,0,2,2,2,,,1,1.5725765744,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/cc_9_edited.jpg,2.5,No,0,0,0,0,0,3,3,3,,,2,2.11117500754,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/edited_63_smile.jpg,3.0,Yes,0,0,0,0,0,4,4,4,,,1,0.968944472144,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/EMBfemale21-4happy_Edited.jpg,3.0,Yes,0,0,0,0,0,5,5,5,,,2,1.95061228087,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/EMImale21-2happy_edited.jpg,3.5,No,0,0,0,0,0,6,6,6,,,1,1.00466181256,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/EMImale24-3happy_edited.jpg,2.0,No,0,0,0,0,0,7,7,7,,,2,1.67647475039,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/EMImale28happy_edited.jpg,4.0,No,0,0,0,0,0,8,8,8,,,1,0.991009161575,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/EMWfemale22-2happy_Edited.jpg,4.0,Yes,0,0,0,0,0,9,9,9,,,1,0.978226421284,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/EMWmale23-2happy_edited.jpg,2.0,No,0,0,0,0,0,10,10,10,,,2,1.65763404849,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/Silk_Rudick_F25_edited.jpg,3.5,Yes,0,0,0,0,0,11,11,11,,,1,2.09154370404,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/Female_Creative_Commons_Stockvault_10.jpg,2.0,No,0,0,0,0,0,12,12,12,,,1,1.24591784272,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/Female_Creative_Commons_Stockvault_16.jpg,2.5,No,0,0,0,0,0,13,13,13,,,1,1.910394234,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/Female_Creative_Commons_Stockvault_18.jpg,4.0,No,0,0,0,0,0,14,14,14,,,2,2.58077992126,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/Female_Creative_Commons_Stockvault_20.jpg,4.5,Yes,0,0,0,0,0,15,15,15,,,1,1.9731764613,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/Female_Creative_Commons_Stockvault_5.jpg,2.0,No,0,0,0,0,0,16,16,16,,,2,1.40647559322,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/Silk_Stroud_1189_edited.jpg,1.5,No,0,0,0,0,0,17,17,17,,,2,2.25630109792,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/Silk_Stroud_1190_edited.jpg,2.5,No,0,0,0,0,0,18,18,18,,,2,2.32262174936,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/WBfemale19happy_edited.jpg,3.0,No,0,0,0,0,0,19,19,19,,,2,1.59833332978,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/WIfemale22happy_edited.jpg,4.0,No,0,0,0,0,0,20,20,20,,,1,1.80054166471,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/WWfemale22-2happy_edited.jpg,3.0,Yes,0,0,0,0,0,21,21,21,,,2,1.76918476284,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/WWfemale22happy_edited.jpg,2.0,Yes,0,0,0,0,0,22,22,22,,,1,1.69613249018,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/Flicker_2_cc30_edited.jpg,4.0,No,0,0,0,0,0,23,23,23,,,1,2.48438437423,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/IMG_1094_edited.jpg,4.0,No,0,0,0,0,0,24,24,24,,,2,1.99407453113,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/M27_edited.jpg,2.0,No,0,0,0,0,0,25,25,25,,,2,1.98594582791,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/Male_Creative_Commons_Stockvault_1.jpg,2.0,No,0,0,0,0,0,26,26,26,,,1,2.78798316664,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/WWmale23-4happy_edited.jpg,2.0,No,0,0,0,0,0,27,27,27,,,2,2.11587072071,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/pitt-20_edited.jpg,3.5,No,0,0,0,0,0,28,28,28,,,None,,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/Silk_Rudick_F22_edited.jpg,3.0,Yes,0,0,0,0,0,29,29,29,,,1,2.603350322,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/Silk_Rudick_F23_edited.jpg,3.5,No,0,0,0,0,0,30,30,30,,,None,,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/Silk_Rudick_pitt-2_edited.jpg,5.5,Yes,0,0,0,0,0,31,31,31,,,1,0.932927312911,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/Silk_Rudick_pitt-6_edited.jpg,3.0,No,0,0,0,0,0,32,32,32,,,1,1.22915285884,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/WImale22-3_edited.jpg,4.0,Yes,0,0,0,0,0,33,33,33,,,2,1.55808013817,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/WImale22happy_edited.jpg,3.0,No,0,0,0,0,0,34,34,34,,,2,1.18658135715,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/WImale23-2happy_edited.jpg,2.0,No,0,0,0,0,0,35,35,35,,,2,1.14466112212,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/WImale23happy_Edited.jpg,2.5,No,0,0,0,0,0,36,36,36,,,1,2.28317439917,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/WWmale22happy_edited.jpg,3.5,Yes,0,0,0,0,0,37,37,37,,,2,1.62296762981,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/WWmale21-3happy_edited.jpg,3.5,Yes,0,0,0,0,0,38,38,38,,,1,1.27184658963,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,stim/WWmale23-3happy_edited.jpg,3.0,No,0,0,0,0,0,39,39,39,,,2,1.68939869176,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run1,,,,0,0,0,0,,,,,,,,,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run2,stim/73_smile_edited.jpg,4.0,No,0,1,1,1,0,0,0,0,space,4.51663140277,1,1.22194040753,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run2,stim/cc_11_edited.jpg,1.5,Yes,0,1,1,1,0,1,1,1,,,2,1.35989541165,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run2,stim/cc_17_edited.jpg,4.5,Yes,0,1,1,1,0,2,2,2,,,2,2.43901497638,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run2,stim/cc_29_edited.jpg,2.5,No,0,1,1,1,0,3,3,3,,,1,2.19672761846,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run2,stim/edited_61_smile.jpg,3.0,Yes,0,1,1,1,0,4,4,4,,,1,2.08935228828,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run2,stim/EMBfemale21-3happy_edited.jpg,3.0,Yes,0,1,1,1,0,5,5,5,,,1,0.824709752458,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run2,stim/EMImale23-2happy_edited.jpg,3.5,No,0,1,1,1,0,6,6,6,,,2,2.7093693132,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run2,stim/EMImale23happy_edited.jpg,2.0,No,0,1,1,1,0,7,7,7,,,2,1.15187326237,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run2,stim/EMImale24-2happy_edited.jpg,4.0,No,0,1,1,1,0,8,8,8,,,1,1.35107936407,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run2,stim/EMWfemale22happy_edited.jpg,4.0,Yes,0,1,1,1,0,9,9,9,,,2,2.03562403563,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run2,stim/EMWmale23-4happy_edited.jpg,2.0,No,0,1,1,1,0,10,10,10,,,1,0.942983690766,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run2,stim/EMBfemale22happy_edited.jpg,3.5,Yes,0,1,1,1,0,11,11,11,,,2,1.57687947492,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run2,stim/Female_Creative_Commons_Stockvault_13.jpg,2.0,No,0,1,1,1,0,12,12,12,,,1,1.22937710106,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run2,stim/Female_Creative_Commons_Stockvault_14.jpg,2.5,No,0,1,1,1,0,13,13,13,,,2,1.07250892848,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run2,stim/Female_Creative_Commons_Stockvault_17.jpg,4.0,No,0,1,1,1,0,14,14,14,,,None,,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run2,stim/Female_Creative_Commons_Stockvault_19.jpg,4.5,Yes,0,1,1,1,0,15,15,15,,,1,0.938975321827,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
Run2,stim/Female_Creative_Commons_Freeimages_2.jpg,2.0,No,0,1,1,1,0,16,16,16,,,2,2.18914132635,1A,59.9846459924,Rej_Discount,2019_Mar_18_1709,on,Rej_13,
