Run,Cue,Jitter,Eval,runLooper.thisRepN,runLooper.thisTrialN,runLooper.thisN,runLooper.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,advanceScreen.keys,advanceScreen.rt,Prediction_Response.keys,Prediction_Response.rt,Version,frameRate,expName,date,mriMode,Subject,
Run1,stim/58_smile_edited.jpg,4.0,No,0,0,0,0,0,0,0,0,space,4.66695280012,1,1.18688650423,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
Run1,stim/cc_2_edited.jpg,1.5,Yes,0,0,0,0,0,1,1,1,,,1,2.40861628664,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
Run1,stim/cc_22_edited.jpg,4.5,Yes,0,0,0,0,0,2,2,2,,,1,1.33707981533,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
Run1,stim/cc_9_edited.jpg,2.5,No,0,0,0,0,0,3,3,3,,,2,2.00384476269,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
Run1,stim/edited_63_smile.jpg,3.0,Yes,0,0,0,0,0,4,4,4,,,1,2.6608867711,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
Run1,stim/EMBfemale21-4happy_Edited.jpg,3.0,Yes,0,0,0,0,0,5,5,5,,,2,2.76133982604,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
Run1,stim/EMImale21-2happy_edited.jpg,3.5,No,0,0,0,0,0,6,6,6,,,None,,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
Run1,stim/EMImale24-3happy_edited.jpg,2.0,No,0,0,0,0,0,7,7,7,,,2,1.47093366279,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
Run1,stim/EMImale28happy_edited.jpg,4.0,No,0,0,0,0,0,8,8,8,,,2,2.05971760495,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
Run1,stim/EMWfemale22-2happy_Edited.jpg,4.0,Yes,0,0,0,0,0,9,9,9,,,2,2.28685437643,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
Run1,stim/EMWmale23-2happy_edited.jpg,2.0,No,0,0,0,0,0,10,10,10,,,2,1.34123248252,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
Run1,stim/Silk_Rudick_F25_edited.jpg,3.5,Yes,0,0,0,0,0,11,11,11,,,1,1.05201035179,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
Run1,stim/Female_Creative_Commons_Stockvault_10.jpg,2.0,No,0,0,0,0,0,12,12,12,,,1,1.96013352479,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
Run1,stim/Female_Creative_Commons_Stockvault_16.jpg,2.5,No,0,0,0,0,0,13,13,13,,,None,,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
Run1,stim/Female_Creative_Commons_Stockvault_18.jpg,4.0,No,0,0,0,0,0,14,14,14,,,1,1.03583012754,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
Run1,stim/Female_Creative_Commons_Stockvault_20.jpg,4.5,Yes,0,0,0,0,0,15,15,15,,,1,0.921431799303,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
Run1,stim/Female_Creative_Commons_Stockvault_5.jpg,2.0,No,0,0,0,0,0,16,16,16,,,2,1.38338678121,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
Run1,stim/Silk_Stroud_1189_edited.jpg,1.5,No,0,0,0,0,0,17,17,17,,,1,1.07360440743,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
Run1,stim/Silk_Stroud_1190_edited.jpg,2.5,No,0,0,0,0,0,18,18,18,,,2,1.70544334664,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
Run1,stim/WBfemale19happy_edited.jpg,3.0,No,0,0,0,0,0,19,19,19,,,2,1.53074457205,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
Run1,stim/WIfemale22happy_edited.jpg,4.0,No,0,0,0,0,0,20,20,20,,,2,2.49934391468,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
Run1,stim/WWfemale22-2happy_edited.jpg,3.0,Yes,0,0,0,0,0,21,21,21,,,1,1.2696617996,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
Run1,stim/WWfemale22happy_edited.jpg,2.0,Yes,0,0,0,0,0,22,22,22,,,1,1.47648029734,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
Run1,stim/Flicker_2_cc30_edited.jpg,4.0,No,0,0,0,0,0,23,23,23,,,1,1.9352187661,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
Run1,stim/IMG_1094_edited.jpg,4.0,No,0,0,0,0,0,24,24,24,,,1,1.39325558592,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
Run1,stim/M27_edited.jpg,2.0,No,0,0,0,0,0,25,25,25,,,1,1.13543846685,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
Run1,stim/Male_Creative_Commons_Stockvault_1.jpg,2.0,No,0,0,0,0,0,26,26,26,,,2,1.22751683131,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
Run1,stim/WWmale23-4happy_edited.jpg,2.0,No,0,0,0,0,0,27,27,27,,,2,2.34406862478,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
Run1,stim/pitt-20_edited.jpg,3.5,No,0,0,0,0,0,28,28,28,,,1,1.81073734415,1A,59.9709590688,Rej_Discount,2019_Apr_02_1749,on,Rej_14,
