12.0995 	EXP 	Created polygon_3 = Polygon(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', fillRGB=array([ 1.,  1.,  1.]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1, name='polygon_3', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
12.1222 	EXP 	Created fix = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.3, italic=False, name='fix', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
12.1233 	EXP 	window1: blendMode = 'avg'
12.1408 	EXP 	InstrText: autoDraw = True
12.1412 	EXP 	window1: blendMode = 'avg'
12.1578 	EXP 	window1: blendMode = 'avg'
12.1754 	EXP 	window1: blendMode = 'avg'
12.1921 	EXP 	window1: blendMode = 'avg'
12.2089 	EXP 	window1: blendMode = 'avg'
12.2261 	EXP 	window1: blendMode = 'avg'
12.2425 	EXP 	window1: blendMode = 'avg'
12.2592 	EXP 	window1: blendMode = 'avg'
12.2759 	EXP 	window1: blendMode = 'avg'
12.2925 	EXP 	window1: blendMode = 'avg'
12.3091 	EXP 	window1: blendMode = 'avg'
12.3258 	EXP 	window1: blendMode = 'avg'
12.3425 	EXP 	window1: blendMode = 'avg'
12.3595 	EXP 	window1: blendMode = 'avg'
12.3759 	EXP 	window1: blendMode = 'avg'
12.3926 	EXP 	window1: blendMode = 'avg'
12.4092 	EXP 	window1: blendMode = 'avg'
12.4259 	EXP 	window1: blendMode = 'avg'
12.4426 	EXP 	window1: blendMode = 'avg'
12.4592 	EXP 	window1: blendMode = 'avg'
12.4762 	EXP 	window1: blendMode = 'avg'
