Run,Cue,Jitter,Eval,runLooper.thisRepN,runLooper.thisTrialN,runLooper.thisN,runLooper.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,advanceScreen.keys,advanceScreen.rt,Prediction_Response.keys,Prediction_Response.rt,Version,frameRate,expName,date,mriMode,Subject,
Run1,stim/58_smile_edited.jpg,4.0,No,0,0,0,0,0,0,0,0,space,2.92588436502,2,1.55928625655,1A,59.8835396618,Rej_Discount,2019_Mar_14_1118,on,Rej_12,
Run1,stim/cc_2_edited.jpg,1.5,Yes,0,0,0,0,0,1,1,1,,,1,1.75815957153,1A,59.8835396618,Rej_Discount,2019_Mar_14_1118,on,Rej_12,
Run1,stim/cc_22_edited.jpg,4.5,Yes,0,0,0,0,0,2,2,2,,,2,1.9452743204,1A,59.8835396618,Rej_Discount,2019_Mar_14_1118,on,Rej_12,
Run1,stim/cc_9_edited.jpg,2.5,No,0,0,0,0,0,3,3,3,,,1,1.19477133048,1A,59.8835396618,Rej_Discount,2019_Mar_14_1118,on,Rej_12,
Run1,stim/edited_63_smile.jpg,3.0,Yes,0,0,0,0,0,4,4,4,,,2,2.38752354778,1A,59.8835396618,Rej_Discount,2019_Mar_14_1118,on,Rej_12,
Run1,stim/EMBfemale21-4happy_Edited.jpg,3.0,Yes,0,0,0,0,0,5,5,5,,,2,1.12217780575,1A,59.8835396618,Rej_Discount,2019_Mar_14_1118,on,Rej_12,
Run1,stim/EMImale21-2happy_edited.jpg,3.5,No,0,0,0,0,0,6,6,6,,,1,2.04026221103,1A,59.8835396618,Rej_Discount,2019_Mar_14_1118,on,Rej_12,
Run1,stim/EMImale24-3happy_edited.jpg,2.0,No,0,0,0,0,0,7,7,7,,,2,1.08517379395,1A,59.8835396618,Rej_Discount,2019_Mar_14_1118,on,Rej_12,
Run1,stim/EMImale28happy_edited.jpg,4.0,No,0,0,0,0,0,8,8,8,,,2,1.21814041919,1A,59.8835396618,Rej_Discount,2019_Mar_14_1118,on,Rej_12,
Run1,stim/EMWfemale22-2happy_Edited.jpg,4.0,Yes,0,0,0,0,0,9,9,9,,,1,1.64272333949,1A,59.8835396618,Rej_Discount,2019_Mar_14_1118,on,Rej_12,
Run1,stim/EMWmale23-2happy_edited.jpg,2.0,No,0,0,0,0,0,10,10,10,,,1,1.89587291653,1A,59.8835396618,Rej_Discount,2019_Mar_14_1118,on,Rej_12,
Run1,stim/Silk_Rudick_F25_edited.jpg,3.5,Yes,0,0,0,0,0,11,11,11,,,2,1.8275704738,1A,59.8835396618,Rej_Discount,2019_Mar_14_1118,on,Rej_12,
Run1,stim/Female_Creative_Commons_Stockvault_10.jpg,2.0,No,0,0,0,0,0,12,12,12,,,1,2.53139748942,1A,59.8835396618,Rej_Discount,2019_Mar_14_1118,on,Rej_12,
Run1,stim/Female_Creative_Commons_Stockvault_16.jpg,2.5,No,0,0,0,0,0,13,13,13,,,1,1.70438870977,1A,59.8835396618,Rej_Discount,2019_Mar_14_1118,on,Rej_12,
Run1,stim/Female_Creative_Commons_Stockvault_18.jpg,4.0,No,0,0,0,0,0,14,14,14,,,2,1.181387708,1A,59.8835396618,Rej_Discount,2019_Mar_14_1118,on,Rej_12,
Run1,stim/Female_Creative_Commons_Stockvault_20.jpg,4.5,Yes,0,0,0,0,0,15,15,15,,,1,2.13052173174,1A,59.8835396618,Rej_Discount,2019_Mar_14_1118,on,Rej_12,
