subjID,delay_later,amount_later,delay_sooner,amount_sooner,choice,rt,AQ_score,RSQ_score,IRI_score,RSE_score,MSPSS_score,Day
R_37050,20,25,0,19,1,2.58,16,81,80,16,5.916666667,0
R_37050,171,30,0,21,0,1.579,16,81,80,16,5.916666667,0
R_37050,4,35,0,25,0,1.567,16,81,80,16,5.916666667,0
R_37050,3,35,0,30,1,2.564,16,81,80,16,5.916666667,0
R_37050,59,35,0,32,0,2.279,16,81,80,16,5.916666667,0
R_37050,42,35,0,30,0,1.548,16,81,80,16,5.916666667,0
R_37050,158,30,0,15,0,1.146,16,81,80,16,5.916666667,0
R_37050,129,35,0,31,0,1.645,16,81,80,16,5.916666667,0
R_37050,27,35,0,13,1,1.676,16,81,80,16,5.916666667,0
R_37050,9,25,0,17,1,2.912,16,81,80,16,5.916666667,0
R_40528,5,25,0,11,1,2.215,16,76,54,24,6.5,1
R_40528,11,30,0,11,1,1.974,16,76,54,24,6.5,1
R_40528,38,30,0,12,0,2.444,16,76,54,24,6.5,1
R_40528,76,35,0,12,0,3.108,16,76,54,24,6.5,1
R_40528,113,25,0,16,0,2.975,16,76,54,24,6.5,1
R_40528,70,25,0,16,0,2.443,16,76,54,24,6.5,1
R_40528,67,30,0,18,0,1.619,16,76,54,24,6.5,1
R_40528,20,25,0,19,0,3.325,16,76,54,24,6.5,1
R_40528,171,30,0,21,0,1.591,16,76,54,24,6.5,1
R_40528,4,35,0,25,1,3.278,16,76,54,24,6.5,1
R_40528,3,35,0,30,1,1.677,16,76,54,24,6.5,1
R_40528,59,35,0,32,0,2.661,16,76,54,24,6.5,1
R_40528,42,35,0,30,0,3.111,16,76,54,24,6.5,1
R_40528,158,30,0,15,0,2.526,16,76,54,24,6.5,1
R_40528,129,35,0,31,0,1.542,16,76,54,24,6.5,1
R_40528,27,35,0,13,1,2.343,16,76,54,24,6.5,1
R_40528,9,25,0,17,1,3.243,16,76,54,24,6.5,1
R_33688,5,25,0,11,1,3.487,19,70,54,18,5.083333333,1
R_33688,11,30,0,11,0,3.599,19,70,54,18,5.083333333,1
R_33688,38,30,0,12,1,2.134,19,70,54,18,5.083333333,1
R_33688,76,35,0,12,0,2.635,19,70,54,18,5.083333333,1
R_33688,113,25,0,16,1,2.568,19,70,54,18,5.083333333,1
R_33688,70,25,0,16,0,1.87,19,70,54,18,5.083333333,1
R_33688,67,30,0,18,0,2.441,19,70,54,18,5.083333333,1
R_33688,20,25,0,19,0,2.669,19,70,54,18,5.083333333,1
R_33688,171,30,0,21,0,1.624,19,70,54,18,5.083333333,1
R_33688,4,35,0,25,1,2.621,19,70,54,18,5.083333333,1
R_33688,3,35,0,30,1,4.471,19,70,54,18,5.083333333,1
R_33688,59,35,0,32,0,2.604,19,70,54,18,5.083333333,1
R_33688,42,35,0,30,0,2.514,19,70,54,18,5.083333333,1
R_33688,158,30,0,15,0,1.435,19,70,54,18,5.083333333,1
R_33688,129,35,0,31,0,1.621,19,70,54,18,5.083333333,1
R_33688,27,35,0,13,0,4.502,19,70,54,18,5.083333333,1
R_33688,9,25,0,17,1,1.272,19,70,54,18,5.083333333,1
R_46737,5,25,0,11,1,1.042,15,50,80,18,6.333333333,1
R_46737,11,30,0,11,1,0.855,15,50,80,18,6.333333333,1
R_46737,38,30,0,12,1,1.339,15,50,80,18,6.333333333,1
R_46737,76,35,0,12,1,1.006,15,50,80,18,6.333333333,1
R_46737,113,25,0,16,1,1.674,15,50,80,18,6.333333333,1
R_46737,70,25,0,16,1,1.66,15,50,80,18,6.333333333,1
R_46737,67,30,0,18,1,1.44,15,50,80,18,6.333333333,1
R_46737,20,25,0,19,1,1.303,15,50,80,18,6.333333333,1
R_46737,171,30,0,21,1,1.843,15,50,80,18,6.333333333,1
R_46737,4,35,0,25,1,1.203,15,50,80,18,6.333333333,1
