trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,understand.keys,understand.rt,key_resp_10.keys,key_resp_10.rt,date,expName,Version,frameRate,Subject,
,,,,1,4.81820702553,,,2019_Feb_26_1011,SocaMotivePractice,1A,59.9703744374,999,
,,,,,,1,12.0028119087,2019_Feb_26_1011,SocaMotivePractice,1A,59.9703744374,999,
