understand.keys,understand.rt,key_resp_10.keys,key_resp_10.rt,date,expName,Version,frameRate,Subject,
1,3.21810102463,,,2019_Feb_25_1709,SocaMotivePractice,1A,59.8132717656,999,
,,1,1.96957707405,2019_Feb_25_1709,SocaMotivePractice,1A,59.8132717656,999,
